# Sessao;Data de Uso;Hora Inicio;Jogo;Fase;Nivel;Linha Escolhida;Imagem Objetivo;Imagem Tocada;Tempo de Toque;Acao;Pontos Motor;Pontos Cognitivo
1;04/04/2019;12:19:03;Sequenciacao;1;1;3;GeometricosPB-Triangulo-Medio-BordaFina-Preto;Nao tocou;7;Omitiu;0;0
1;04/04/2019;12:19:11;Sequenciacao;1;1;3;GeometricosPB-Triangulo-Medio-BordaFina-Preto;GeometricosPB-Triangulo-Medio-BordaFina-Preto;1;Acertou;4;5
2;04/04/2019;12:22:50;Sequenciacao;1;1;4;GeometricosPB-Retangulo-Medio-BordaFina-Preto;GeometricosPB-Retangulo-Medio-BordaFina-Preto;1;Acertou;4;5
2;04/04/2019;12:22:55;Sequenciacao;1;1;4;GeometricosPB-Retangulo-Medio-BordaFina-Preto;GeometricosPB-Quadrado-Medio-BordaFina-Preto;0;Errou;5;0
5;23/04/2019;16:18:58;Sequenciacao;1;1;2;GeometricosPB-Quadrado-Medio-BordaFina-Preto;GeometricosPB-Retangulo-Medio-BordaFina-Preto;2;Errou;3;0
5;23/04/2019;16:19:04;Sequenciacao;1;1;2;GeometricosPB-Quadrado-Medio-BordaFina-Preto;GeometricosPB-Retangulo-Medio-BordaFina-Preto;2;Errou;3;0
5;23/04/2019;16:19:09;Sequenciacao;1;1;2;GeometricosPB-Quadrado-Medio-BordaFina-Preto;GeometricosPB-Quadrado-Medio-BordaFina-Preto;1;Acertou;4;5
5;23/04/2019;16:19:14;Sequenciacao;1;1;2;GeometricosPB-Quadrado-Medio-BordaFina-Preto;GeometricosPB-Circulo-Medio-BordaFina-Preto;1;Acertou;4;5
8;23/04/2019;19:10:36;Classificacao;1;1;4;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Acertou;4;5
8;23/04/2019;19:10:41;Classificacao;1;1;4;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;0;Acertou;5;5
8;23/04/2019;19:10:47;Classificacao;1;1;4;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;3;Acertou;2;5
9;23/04/2019;19:28:37;Classificacao;1;1;3;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;2;Acertou;3;5
9;23/04/2019;19:28:43;Classificacao;1;1;3;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;2;Errou;3;0
9;23/04/2019;19:28:54;Classificacao;1;1;3;GeometricosPB-Triangulo-Grande-BordaFina-Preto;Nao tocou;7;Omitiu;0;0
10;23/04/2019;19:32:38;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;2;Errou;3;0
10;23/04/2019;19:32:48;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;Nao tocou;7;Omitiu;0;0
10;23/04/2019;19:32:55;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;2;Acertou;3;5
10;23/04/2019;19:33:01;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;2;Acertou;3;5
10;23/04/2019;19:33:09;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;3;Acertou;2;5
11;23/04/2019;19:33:30;Sequenciacao;1;1;4;GeometricosPB-Retangulo-Medio-BordaFina-Preto;GeometricosPB-Retangulo-Medio-BordaFina-Preto;3;Acertou;2;5
11;23/04/2019;19:33:36;Sequenciacao;1;1;4;GeometricosPB-Retangulo-Medio-BordaFina-Preto;GeometricosPB-Triangulo-Medio-BordaFina-Preto;1;Acertou;4;5
11;23/04/2019;19:33:47;Sequenciacao;1;1;3;GeometricosPB-Triangulo-Medio-BordaFina-Preto;GeometricosPB-Triangulo-Medio-BordaFina-Preto;3;Acertou;2;5
11;23/04/2019;19:33:55;Sequenciacao;1;1;3;GeometricosPB-Triangulo-Medio-BordaFina-Preto;GeometricosPB-Retangulo-Medio-BordaFina-Preto;3;Acertou;2;5
12;23/04/2019;19:38:26;Sequenciacao;1;1;2;GeometricosPB-Quadrado-Medio-BordaFina-Preto;GeometricosPB-Quadrado-Medio-BordaFina-Preto;3;Acertou;2;5
12;23/04/2019;19:38:34;Sequenciacao;1;1;2;GeometricosPB-Quadrado-Medio-BordaFina-Preto;GeometricosPB-Circulo-Medio-BordaFina-Preto;4;Acertou;1;5
